sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,Microsoft Academic Paper ID,WHO #Covidence,has_full_text,full_text_file
,Elsevier,Intrauterine virus infections and congenital heart disease,10.1016/0002-8703(72)90077-4,,4361535,els-covid,"Abstract The etiologic basis for the vast majority of cases of congenital heart disease remains largely undefined. Viruses have been considered to be likely candidates since the recognition of the association between intrauterine rubella and congenital heart disease. Although the pathogenesis of cardiovascular defects is poorly understood, information gained from the study of congenital rubella syndrome suggests that mechanisms such as focal endothelial cell damage, resulting in obliteration of vascular supply, decreased growth rate, and shortened survival time of certain cells, and disturbed DNA replication in cells whose chromosomes were damaged secondary to the effects of virus replication may be operative in the production of defects in the developing fetus. In addition to rubella there is suggestive, but not conclusive, evidence that Coxsackie B3 and B4 virus infections during pregnancy can result in the birth of infants with a variety of types of congenital heart lesions and that intrauterine mumps virus infection may be etiologically related to the postnatal development of endocardial fibroelastosis (EFE). Although there are a number of other viruses that are potential etiologic agents of congenital heart disease, the current status of information is inadequate to allow even suggestive associations to be made. The most profitable areas for future investigation appear to be: (1) the epidemiology of congenital heart disease, (2) prospective studies of the association of maternal viral infection with abnormal offspring, (3) the in-depth virologic investigation of the infant with a cardiac defect, and (4) the development of experimental animal models of congenital heart disease. Successful control of virus-induced congenital heart disease will depend on the results of these investigations and the development of vaccines against the identified causative viruses and/or safe and effective antiviral chemotherapy for the woman in early gestation who is infected with a known teratogenic agent.",12/30/68,"Overall, James C.",American Heart Journal,,,FALSE,custom_license
,Elsevier,Coronaviruses in Balkan nephritis,10.1016/0002-8703(80)90355-5,,6243850,els-covid,,3/30/76,"Georgescu, Leonida; Diosi, Peter; Buţiu, Ioan; Plavoşin, Livia; Herzog, Georgeta",American Heart Journal,,,FALSE,custom_license
,Elsevier,Cigarette smoking and coronary heart disease: new evidence and old reactions,10.1016/0002-8703(80)90356-7,,7355701,els-covid,,3/30/76,"Friedman, Gary D",American Heart Journal,,,FALSE,custom_license
aecbc613ebdab36753235197ffb4f35734b5ca63,Elsevier,Clinical and immunologic studies in identical twins discordant for systemic lupus erythematosus,10.1016/0002-9343(73)90176-9,,4579077,els-covid,"Abstract Middle-aged female identical twins, one of whom had systemic lupus erythematosus (SLE), were evaluated for immunologic reactivity to previous antigenic challenges, including primary immunization with a foreign antigen, keyhole limpet hemocyanin (KLH). These two women had lived together for all of their 58 years and neither was receiving anti-inflammatory or immunosuppressive drugs at the time of these studies. Both twins demonstrated comparable 7S and 198 humoral antibody response to KLH, as well as similar viral antibody titers. However, the twin with SLE was anergic to common antigens, streptokinase-streptodornase, Trichophyton and Candida; furthermore delayed hypersensitivity to KLH did not develop after immunization. This observed discrepancy between humoral and cellular immunity in genetically similar subjects may be significant in the pathogenesis of SLE.",8/30/69,"Brunner, Carolyn M.; Horwitz, David A.; Shann, Mary K.; Sturgill, Benjamin A.; Davis, John S.",The American Journal of Medicine,,,TRUE,custom_license
,Elsevier,"Epidemiology of community-acquired respiratory tract infections in adults Incidence, etiology, and impact",10.1016/0002-9343(85)90361-4,,4014285,els-covid,"Abstract Upper respiratory tract infections are the most common types of infectious diseases among adults. It is estimated that each adult in the United States experiences two to four respiratory infections annually. The morbidity of these infections is measured by an estimated 75 million physician visits per year, almost 150 million days lost from work, and more than $10 billion In costs for medical care. Serotypes of the rhinoviruses account for 20 to 30 percent of episodes of the common cold. However, the specific causes of most upper respiratory infections are undefined. Pneumonia remains an important cause of morbidity and mortality for nonhospitalized adults despite the widespread use of effective antimicrobial agents. There are no accurate figures on the number of episodes of pneumonia that occur each year in ambulatory patients. In younger adults, the atypical pneumonia syndrome Is the most common clinical presentation; Mycoplasma pneumoniae is the most frequently Identified causative agent. Other less common agents include Legionelia pneumophila, influenza viruses, adenoviruses, and Chiamydia. More than half a million adults are hospitalized each year with pneumonia. Persons older than 65 years of age have the highest rate of pneumonia admissions, 11.5 per 1,000 population. Pneumonia ranks as the sixth leading cause of death in the United States. The pathogens responsible for community-acquired pneumonlas are changing. Forty years ago, Streptococcus pneumoniae accounted for the majority of infections. Today, a broad array of community-acquired pathogens have been implicated as etiologic agents Including Leglonella species, gram-negative bacilli, Hemophilus influenzae, Staphylococcus aureus and nonbacterial pathogens. Given the diversity of pathogenic agents, it has become imperative for clinicians to establish a specific etiologic diagnosis before initiating therapy or to consider the diagnostic possibilities and treat with antimicrobial agents that are effective against the most likely pathogens.",6/27/81,"Garibaldi, Richard A.",The American Journal of Medicine,,,FALSE,custom_license
212e990b378e8d267042753d5f9d4a64ea5e9869,Elsevier,Infectious diarrhea: Pathogenesis and risk factors,10.1016/0002-9343(85)90367-5,,2861742,els-covid,"Abstract Our understanding of the pathogenesis of infectious, especially bacterial, diarrhea has increased dramatically. New etiologic agents, mechanisms, and diseases have become known. For example, Escherichia coli serogroup 0157 is now known to cause acute hemorrhagic colitis. Also, E. coli serogroups that produce Shiga toxin are recognized as etiologic agents in the hemolytic-uremic syndrome. The production of bacterial diarrhea has two major facets, bacterial-mucosal interaction and the induction of intestinal fluid loss by enterotoxins. Bacterial-mucosal interaction can be described in stages: (1) adherence to epithelial cell microvilli, which is often promoted by or associated with pill; (2) close adherence (enteroadherence), usually by classic enteropathogenic E. coli, to mucosal epithelial cells lacking microvilli; and (3) mucosal invasion, as with Shigella and Salmonella infections. Further large strides in understanding infectious diarrhea are likely with the cloning of virulence genes if additional host-specific animal pathogens become available for study.",6/27/81,"Cantey, J.Robert",The American Journal of Medicine,,,TRUE,custom_license
bf5d344243153d58be692ceb26f52c08e2bd2d2f,Elsevier,New perspectives on the pathogenesis of rheumatoid arthritis,10.1016/0002-9343(88)90356-7,,3052052,els-covid,"Abstract In the pathogenesis of rheumatoid arthritis, locally produced antibodies complex with an inciting antigen, yet to be identified, within the joint and activate the complement system, resulting in articular inflammation mediated primarily by polymorphonuclear leukocytes and their products. Chronic inflammatory cells then produce soluble factors that induce both tissue destruction and inflammation. A major issue is how and why apparently normal immune responses in the acute stage progress to chronic inflammation in subsequent months to years. Although it is often assumed that the initial etiologic agent, persisting in the joint or at an extra-articular site, is responsible for continued synovitis, this need not be the case. It is possible that once the inciting agent is cleared from the joint through a normal immune response, the presence of activated cells rich in surface class II histocompatibility (Ia) antigens could, under the influence of multiple genetic or environmental factors, become the target of autoimmune attack. Alternatively, the process might result from the interactions of synovial lining cells and their products with T cells assuming a secondary role. Further research into the relative contributions of soluble products, T helper and suppressor subsets, synoviocytes, and antigen determine which model is correct.",10/13/84,"Zvaifler, Nathan J.",The American Journal of Medicine,,,TRUE,custom_license
ddd2ecf42ec86ad66072962081e1ce4594431f9c,Elsevier,Management of acute and chronic respiratory tract infections,10.1016/0002-9343(88)90456-1,,3048091,els-covid,"Abstract Pharyngitis, bronchitis, and pneumonia represent the most common respiratory tract infections. With a view to establishing effective management strategies, the origins of these illnesses and the diagnostic techniques that have been developed to discover them are reviewed. Therapeutic regimens with documented efficacy are outlined with emphasis on specific rather than empiric treatment. Although many respiratory tract pathogens remain exquisitely sensitive to penicillin, the emergence of resistant strains underscores the need for safe and effective alternative therapies.",9/15/84,"Ellner, Jerrold J.",The American Journal of Medicine,,,TRUE,custom_license
a55cb4e724091ced46b5e55b982a14525eea1c7e,Elsevier,Acute bronchitis: Results of U.S. and European trials of antibiotic therapy,10.1016/0002-9343(92)90608-E,,1621745,els-covid,"Abstract Acute bronchitis, an illness frequently encountered by primary-care physicians, is an inflammation of the tracheobronchial tree that results from a respiratory tract infection. It is characterized by persistent cough and sputum production and is occasionally accompanied by fever and/or chest pain. Acute bronchitis may have a viral or bacterial origin and is often treated with antibiotics. Four clinical trials were conducted to compare high and low doses of loracarbef, a new oral β-lactam antibiotic, with three agents commonly used to treat acute bronchitis: amoxicillin/clavulanate, cefaclor, and amoxicillin. Results of these studies indicated that loracarbef, 400 and 200 mg twice daily, had clinical and bacteriologic efficacy against the common respiratory pathogens Streptococcus pneumoniae, Haemophilus influenzae, and Moraxella (Branhamella) catarrhalis that was comparable with that of the comparative agents. Loracabef was as well tolerated as cefaclor and amoxicillin; moreover, it produced a significantly lower incidence of diarrhea than did amoxicillin/clavulanate. Loracarbef may be considered a safe and effective alternative agent for the treatment of patients with acute bronchitis.",6/21/88,"Dere, Willard H.",The American Journal of Medicine,,,TRUE,custom_license
a1fd28115cfa14869f29f30d2121c1058e6e81e9,Elsevier,Clinical and Immunologic Responses in Patients with Viral Keratoconjunctivitis,10.1016/0002-9394(75)90398-0,,170831,els-covid,,10/30/71,"Knopf, Harry L.S.; Hierholzer, John C.",American Journal of Ophthalmology,,,TRUE,custom_license
